lull:trust,cajole:compliance,cajole:compliance
ostrich:bird,lion:cat,lion:cat
word:language,paint:portrait,paint:portrait
coop:poultry,aquarium:fish,fence:yard
legend:map,subtitle:translation,subtitle:translation
billboard:advertisement,sculpture:museum,sculpture:museum
custom:society,hypothesis:evidence,hypothesis:evidence
tunnel:mine,conduit:fluid,conduit:fluid
diversion:boredom,assurance:uncertainty,assurance:uncertainty
thicket:shrubs,grove:trees,reef:waves
condescending:respect,bashful:attention,bashful:attention
livid:anger,querulous:reconciliation,forlorn:hope
fathom:depth,amplify:volume,appraise:value
remuneration:labor,gratuity:bonus,apology:regret
tutor:pupil,patron:client,patron:client
decorate:plain,create:talented,create:talented
pallid:color,vital:energy,vital:energy
drift:move,sprint:run,sprint:run
crass:refinement,inefficient:time,clairvoyant:perception
pariah:ostracism,idol:adulation,idol:adulation
audience:theater,crew:ship,crew:ship
quart:volume,day:night,day:night
cartographer:maps,architect:blueprints,bibliographer:books
abrasive:skin,flammable:fire,responsive:stimulus
canal:waterway,skyline:city,skyline:city
throng:people,game:players,game:players
foolhardy:recklessness,defiant:complacency,precious:worthlessness
neighbor:proximity,supervisor:obedience,supervisor:obedience
heckler:disconcert,outcast:exclude,outcast:exclude
veer:course,swerve:obstacle,swerve:obstacle
reveler:merrymaking,hedonist:restraint,disputant:argument
malinger:work,escape:flight,escape:flight
shove:nudge,vex:mutter,vex:mutter
barley:grain,yeast:bread,yeast:bread
locomotive:train,horse:saddle,horse:saddle
abridge:novel,interrupt:conversation,interrupt:conversation
chief:hierarchy,office:rank,office:rank
wing:air,arm:hand,arm:hand
condense:short,shrink:wet,shrink:wet
orator:speech,protagonist:story,protagonist:story
jubilation:joy,exaggeration:truth,exaggeration:truth
dingy:building,shabby:clothes,discolored:bruise
rangers:forest,panel:contest,corps:army
stimulant:activity,symptom:disease,symptom:disease
paramount:importance,debatable:quality,modulated:pitch
raucous:sound,dim:light,dim:light
tourniquet:bleeding,relapse:condition,inflation:expanding
cloying:sweetness,shiny:polish,pale:hue
perfidious:treachery,philanthropic:destitution,truculent:temperament
corroborate:claim,document:assertion,document:assertion
lubricant:slide,battery:discharge,battery:discharge
stomp:walk,devour:starve,devour:starve
index:topics,agenda:meeting,agenda:meeting
prudent:indiscretion,frugal:wastefulness,disgruntled:cynicism
viscous:flow,transparent:see,transparent:see
map:navigate,manuscript:submit,manuscript:submit
skull:head,heart:organ,heart:organ
accomplice:crime,inmate:prison,inmate:prison
barricade:access,heal:illness,heal:illness
ensemble:dancer,clique:outsider,museum:curator
consider:contemplate,smile:greet,write:compose
congeal:solid,heat:fire,heat:fire
shear:wool,reap:wheat,whittle:wood
epilogue:book,sequel:movie,tiff:quarrel
glutton:moderation,thief:larceny,scoundrel:virtue
affectation:behavior,speech:topic,speech:topic
exhortation:urge,division:unite,agreement:dissent
cooperation:collusion,evidence:proof,evidence:proof
gaze:observer,hear:listener,hear:listener
odometer:distance,microscope:size,microscope:size
copyright:book,franchise:license,franchise:license
feign:deceive,flee:elude,dangle:drop
ethos:values,accord:nations,accord:nations
torpid:sluggish,wrong:apologetic,wrong:apologetic
ruler:line,stamp:letter,stamp:letter
catnap:sleep,exhaustion:slumber,exhaustion:slumber
manager:store,technician:laboratory,technician:laboratory
wallet:money,safe:lock,safe:lock
lubricate:smoothly,weigh:heavily,assist:grudgingly
bird:avian,plant:tropical,lung:amphibian
irrational:logic,unrealistic:understanding,unrealistic:understanding
constellation:stars,construction:houses,construction:houses
calculator:compute,plug:insert,clamp:grip
extravagant:spend,belligerent:fight,belligerent:fight
architect:blueprint,instructor:blackboard,composer:score
weave:fabric,illustrate:manual,illustrate:manual
testimony:witness,leadership:follower,leadership:follower
criterion:judgment,height:statue,height:statue
abbreviation:word,outline:story,outline:story
avaricious:greed,proud:winner,choleric:anger
animosity:hatred,carnal:active,carnal:active
mason:stone,teacher:chalk,book:word
precarious:stability,mean:gauge,mean:gauge
binomial:name,octagon:eight,entreat:gift
amplifier:ear,computer:brain,computer:brain
opaque:transparent,gaunt:rotund,gaunt:rotund
rife:singular,sharp:pointed,one:unit
